year,mon,day,time,strata,count.upstream,count.downstream,number.up,camera.desc,minutes,seconds,notes
2024,4,1,305,1,0,0,0,pi,4,58,LG
2024,4,1,345,1,0,0,0,pi,4,58,LG
2024,4,1,355,1,0,0,0,pi,4,58,LG
2024,4,1,450,1,0,0,0,pi,4,58,LG
2024,4,1,535,2,0,0,0,pi,4,58,LG
2024,4,1,555,2,0,0,0,pi,4,58,LG
2024,4,1,620,2,0,0,0,pi,4,58,LG
2024,4,1,830,2,0,0,0,pi,4,58,LG
2024,4,1,1125,3,0,0,0,pi,4,58,LG
2024,4,1,1200,3,0,0,0,pi,4,58,LG
2024,4,1,1225,3,0,0,0,pi,4,58,LG
2024,4,1,1255,3,0,0,0,pi,4,58,LG
2024,4,1,1455,4,0,0,0,pi,4,58,LG
2024,4,1,1505,4,0,0,0,pi,4,58,LG
2024,4,1,1630,4,0,0,0,pi,4,58,LG
2024,4,1,1635,4,0,0,0,pi,4,58,LG
2024,4,1,1835,5,0,0,0,pi,4,58,LG
2024,4,1,1910,5,0,0,0,pi,4,58,LG
2024,4,1,1945,5,0,0,0,pi,4,58,LG
2024,4,1,2050,5,0,0,0,pi,4,58,LG
2024,4,1,2220,6,0,0,0,pi,4,58,LG
2024,4,1,2315,6,0,0,0,pi,4,58,LG
2024,4,1,2340,6,0,0,0,pi,4,58,LG
2024,4,1,2345,6,0,0,0,pi,4,58,LG
2024,4,2,45,1,0,0,0,pi,4,58,LG
2024,4,2,100,1,0,0,0,pi,4,58,LG
2024,4,2,345,1,0,0,0,pi,4,58,LG
2024,4,2,400,1,0,0,0,pi,4,58,LG
2024,4,2,545,2,0,0,0,pi,4,58,LG
2024,4,2,725,2,0,0,0,pi,4,58,LG
2024,4,2,755,2,0,0,0,pi,4,58,LG
2024,4,2,1035,2,0,0,0,pi,4,58,LG
2024,4,2,1120,3,0,0,0,pi,4,58,LG
2024,4,2,1300,3,0,0,0,pi,4,58,LG
2024,4,2,1305,3,0,0,0,pi,4,58,LG
2024,4,2,1315,3,0,0,0,pi,4,58,LG
2024,4,2,1405,4,0,0,0,pi,4,58,LG
2024,4,2,1415,4,0,0,0,pi,4,58,LG
2024,4,2,1525,4,0,0,0,pi,4,58,LG
2024,4,2,1615,4,0,0,0,pi,4,58,LG
2024,4,2,1755,5,0,0,0,pi,4,58,LG
2024,4,2,1805,5,0,0,0,pi,4,58,LG
2024,4,2,1820,5,0,0,0,pi,4,58,LG
2024,4,2,1855,5,0,0,0,pi,4,58,LG
2024,4,2,2105,6,0,0,0,pi,4,58,LG
2024,4,2,2110,6,0,0,0,pi,4,58,LG
2024,4,2,2245,6,0,0,0,pi,4,58,LG
2024,4,2,2335,6,0,0,0,pi,4,58,LG
2024,4,3,125,1,0,0,0,pi,4,58,LG
2024,4,3,130,1,0,0,0,pi,4,58,LG
2024,4,3,250,1,0,0,0,pi,4,58,LG
2024,4,3,425,1,0,0,0,pi,4,58,LG
2024,4,3,540,2,0,0,0,pi,4,58,LG
2024,4,3,830,2,0,0,0,pi,4,58,LG
2024,4,3,845,2,0,0,0,pi,4,58,LG
2024,4,3,905,2,0,0,0,pi,4,58,LG
2024,4,3,1110,3,0,0,0,pi,4,58,LG
2024,4,3,1145,3,0,0,0,pi,4,58,LG
2024,4,3,1240,3,0,0,0,pi,4,58,LG
2024,4,3,1335,3,0,0,0,pi,4,58,LG
2024,4,3,1420,4,0,0,0,pi,4,58,LG
2024,4,3,1445,4,0,0,0,pi,4,58,LG
2024,4,3,1515,4,0,0,0,pi,4,58,LG
2024,4,3,1635,4,0,0,0,pi,4,58,LG
2024,4,3,1645,5,0,0,0,pi,4,58,LG
2024,4,3,1730,5,0,0,0,pi,4,58,LG
2024,4,3,1800,5,0,0,0,pi,4,58,LG
2024,4,3,1915,5,0,0,0,pi,4,58,LG
2024,4,3,2100,6,0,0,0,pi,4,58,LG
2024,4,3,2150,6,0,0,0,pi,4,58,LG
2024,4,3,2255,6,0,0,0,pi,4,58,LG
2024,4,3,2350,6,0,0,0,pi,4,58,LG
2024,4,4,300,1,0,0,0,pi,4,58,LG
2024,4,4,305,1,0,0,0,pi,4,58,LG
2024,4,4,400,1,0,0,0,pi,4,58,LG
2024,4,4,420,1,0,0,0,pi,4,58,LG
2024,4,4,720,2,0,0,0,pi,4,58,LG
2024,4,4,915,2,0,0,0,pi,4,58,"lens too foggy to see, gets better by 0930"
2024,4,4,930,2,0,0,0,pi,4,58,LG
2024,4,4,1005,2,0,0,0,pi,4,58,LG
2024,4,4,1150,3,0,0,0,pi,4,58,LG
2024,4,4,1205,3,0,0,0,pi,4,58,LG
2024,4,4,1230,3,0,0,0,pi,4,58,LG
2024,4,4,1330,3,0,0,0,pi,4,58,LG
2024,4,4,1425,4,0,0,0,pi,4,58,LG
2024,4,4,1550,4,0,0,0,pi,4,58,LG
2024,4,4,1555,4,0,0,0,pi,4,58,LG
2024,4,4,1640,4,0,0,0,pi,4,58,LG
2024,4,4,1650,5,0,0,0,pi,4,58,LG
2024,4,4,1745,5,0,0,0,pi,4,58,LG
2024,4,4,1945,5,0,0,0,pi,4,58,LG
2024,4,4,2015,5,0,0,0,pi,4,58,LG
2024,4,4,2135,6,0,0,0,pi,4,58,LG
2024,4,4,2145,6,0,0,0,pi,4,58,LG
2024,4,4,2155,6,0,0,0,pi,4,58,LG
2024,4,4,2350,6,0,0,0,pi,4,58,LG
2024,4,5,15,1,0,0,0,pi,4,58,LG
2024,4,5,255,1,0,0,0,pi,4,58,LG
2024,4,5,300,1,0,0,0,pi,4,58,LG
2024,4,5,435,1,0,0,0,pi,4,58,LG
2024,4,5,520,2,0,0,0,pi,4,58,LG
2024,4,5,605,2,0,0,0,pi,4,58,LG
2024,4,5,805,2,0,0,0,pi,4,58,LG
2024,4,5,815,2,0,0,0,pi,4,58,LG
2024,4,5,1210,3,0,0,0,pi,4,58,LG
2024,4,5,1230,3,0,0,0,pi,4,58,LG
2024,4,5,1325,3,0,0,0,pi,4,58,LG
2024,4,5,1340,3,0,0,0,pi,4,58,LG
2024,4,5,1525,4,0,0,0,pi,4,58,LG
2024,4,5,1615,4,0,0,0,pi,4,58,LG
2024,4,5,1630,4,0,0,0,pi,4,58,LG
2024,4,5,1640,4,0,0,0,pi,4,58,LG
2024,4,5,1805,5,0,0,0,pi,4,58,LG
2024,4,5,1815,5,0,0,0,pi,4,58,LG
2024,4,5,1920,5,0,0,0,pi,4,58,LG
2024,4,5,2055,5,0,0,0,pi,4,58,LG
2024,4,5,2150,6,0,0,0,pi,4,58,LG
2024,4,5,2235,6,0,0,0,pi,4,58,LG
2024,4,5,2330,6,0,0,0,pi,4,58,LG
2024,4,5,2345,6,0,0,0,pi,4,58,LG
2024,4,6,210,1,0,0,0,pi,4,58,LG
2024,4,6,330,1,0,0,0,pi,4,58,LG
2024,4,6,355,1,0,0,0,pi,4,58,LG
2024,4,6,415,1,0,0,0,pi,4,58,LG
2024,4,6,515,2,0,0,0,pi,4,58,LG
2024,4,6,700,2,0,0,0,pi,4,58,LG
2024,4,6,855,2,0,0,0,pi,4,58,LG
2024,4,6,1015,2,0,0,0,pi,4,58,LG
2024,4,6,1110,3,0,0,0,pi,4,58,LG
2024,4,6,1220,3,0,0,0,pi,4,58,LG
2024,4,6,1315,3,0,0,0,pi,4,58,LG
2024,4,6,1335,3,0,0,0,pi,4,58,LG
2024,4,6,1425,4,0,0,0,pi,4,58,LG
2024,4,6,1545,4,0,0,0,pi,4,58,LG
2024,4,6,1620,4,0,0,0,pi,4,58,LG
2024,4,6,1625,4,0,0,0,pi,4,58,LG
2024,4,6,1750,5,0,0,0,pi,4,58,LG
2024,4,6,1940,5,0,0,0,pi,4,58,LG
2024,4,6,2035,5,0,0,0,pi,4,58,LG
2024,4,6,2050,5,0,0,0,pi,4,58,LG
2024,4,6,2115,6,0,0,0,pi,4,58,LG
2024,4,6,2225,6,0,0,0,pi,4,58,LG
2024,4,6,2245,6,0,0,0,pi,4,58,LG
2024,4,6,2255,6,0,0,0,pi,4,58,LG
2024,4,7,110,1,0,0,0,pi,4,58,LG
2024,4,7,250,1,0,0,0,pi,4,58,LG
2024,4,7,335,1,0,0,0,pi,4,58,LG
2024,4,7,405,1,0,0,0,pi,4,58,LG
2024,4,7,500,2,0,0,0,pi,4,58,LG
2024,4,7,520,2,0,0,0,pi,4,58,LG
2024,4,7,720,2,0,0,0,pi,4,58,LG
2024,4,7,750,2,0,0,0,pi,4,58,LG
2024,4,7,1050,3,0,0,0,pi,4,58,LG
2024,4,7,1100,3,0,0,0,pi,4,58,LG
2024,4,7,1155,3,0,0,0,pi,4,58,LG
2024,4,7,1305,3,0,0,0,pi,4,58,LG
2024,4,7,1350,4,0,0,0,pi,4,58,LG
2024,4,7,1430,4,0,0,0,pi,4,58,LG
2024,4,7,1450,4,0,0,0,pi,4,58,LG
2024,4,7,1555,4,0,0,0,pi,4,58,LG
2024,4,7,1720,5,0,0,0,pi,4,58,LG
2024,4,7,1730,5,0,0,0,pi,4,58,LG
2024,4,7,1735,5,0,0,0,pi,4,58,LG
2024,4,7,1930,5,0,0,0,pi,4,58,LG
2024,4,7,2250,6,0,0,0,pi,4,58,LG
2024,4,7,2305,6,0,0,0,pi,4,58,LG
2024,4,7,2330,6,0,0,0,pi,4,58,LG
2024,4,7,2350,6,0,0,0,pi,4,58,LG
2024,4,8,5,1,0,0,0,pi,4,58,LG
2024,4,8,215,1,0,0,0,pi,4,58,LG
2024,4,8,315,1,0,0,0,pi,4,58,LG
2024,4,8,340,1,0,0,0,pi,4,58,LG
2024,4,8,520,2,0,0,0,pi,4,58,LG
2024,4,8,620,2,0,0,0,pi,4,58,LG
